activation,lr,units,id,objective,elapsed_sec
relu,0.3747903874105453,54,808e8712-eb51-11eb-8df3-e974156e0e1f,0.8740213513374329,51.44098997116089
sigmoid,0.8287909165780262,37,808eeff4-eb51-11eb-8df3-e974156e0e1f,-0.1229085624217987,39.02481126785278
relu,0.7780668752948827,14,80ae3af8-eb51-11eb-8df3-e974156e0e1f,0.5655252933502197,37.81955051422119
identity,0.4515842905501007,3,80e3e176-eb51-11eb-8df3-e974156e0e1f,-0.08294770121574402,40.40975594520569
identity,0.8558585988156746,50,814a6a54-eb51-11eb-8df3-e974156e0e1f,-0.16553938388824463,40.40982723236084
sigmoid,0.11860512972438751,23,818f617c-eb51-11eb-8df3-e974156e0e1f,-0.016280077397823334,46.52889013290405
relu,0.03305470749940655,77,8190267a-eb51-11eb-8df3-e974156e0e1f,0.9783363938331604,50.475807905197144
relu,0.5757167597078605,40,81b93290-eb51-11eb-8df3-e974156e0e1f,0.4525487720966339,39.02485990524292
identity,0.6855826032487496,29,81e898fa-eb51-11eb-8df3-e974156e0e1f,-0.405519038438797,39.02490305900574
identity,0.0512185564374171,31,81e8e8d2-eb51-11eb-8df3-e974156e0e1f,-0.08273892104625702,45.21370601654053
tanh,0.3927149524120615,12,8222068a-eb51-11eb-8df3-e974156e0e1f,-0.017737990245223045,51.44181036949158
sigmoid,0.5254157003310445,90,8222bb66-eb51-11eb-8df3-e974156e0e1f,-0.06156253069639206,48.147982597351074
tanh,0.5410980747407448,3,8245217e-eb51-11eb-8df3-e974156e0e1f,-0.021260809153318405,49.4809513092041
identity,0.9632779021594731,79,828e9d18-eb51-11eb-8df3-e974156e0e1f,-1.8974061012268066,38.34152698516846
sigmoid,0.17150224370483397,96,82cb2b5c-eb51-11eb-8df3-e974156e0e1f,-0.029291559010744095,48.148091316223145
relu,0.9721899953030013,87,8334bff4-eb51-11eb-8df3-e974156e0e1f,0.6486049890518188,46.529006481170654
tanh,0.2032745727453937,9,83a72f12-eb51-11eb-8df3-e974156e0e1f,-0.016307789832353592,53.872039794921875
identity,0.8678760272364907,4,83fefff8-eb51-11eb-8df3-e974156e0e1f,-0.14689180254936218,41.920904874801636
identity,0.4510099819313099,93,83ff6e7a-eb51-11eb-8df3-e974156e0e1f,-1.0319151878356934,40.409897804260254
identity,0.7481411905119174,97,83ff94ae-eb51-11eb-8df3-e974156e0e1f,-0.6794079542160034,41.92100954055786
identity,0.8650794311834084,86,8453883e-eb51-11eb-8df3-e974156e0e1f,-0.2997317910194397,41.9210844039917
sigmoid,0.3622618179701241,38,8454640c-eb51-11eb-8df3-e974156e0e1f,-0.13510455191135406,48.14817452430725
tanh,0.20723524919273978,17,84c038ee-eb51-11eb-8df3-e974156e0e1f,-0.016373515129089355,48.14825892448425
relu,0.7051526372101692,76,85158344-eb51-11eb-8df3-e974156e0e1f,0.7036658525466919,46.529090881347656
identity,0.10108027653161021,68,857bef62-eb51-11eb-8df3-e974156e0e1f,-0.11586152017116547,46.52914071083069
relu,0.7529739370355419,3,85e70eb4-eb51-11eb-8df3-e974156e0e1f,-0.07214990258216858,50.47593951225281
relu,0.8915044010771691,1,8602baf6-eb51-11eb-8df3-e974156e0e1f,-0.18531814217567444,46.52918338775635
identity,0.6872760056784747,27,867a69ac-eb51-11eb-8df3-e974156e0e1f,-0.5234076380729675,45.2138307094574
relu,0.44894286838510966,51,869af686-eb51-11eb-8df3-e974156e0e1f,0.6940788626670837,51.44209575653076
sigmoid,0.3313578457732359,15,870c3602-eb51-11eb-8df3-e974156e0e1f,-0.01638788729906082,51.44220018386841
relu,0.582367449772897,63,879d9bd8-eb51-11eb-8df3-e974156e0e1f,0.5131296515464783,52.747517347335815
identity,0.048220772512568566,30,8805a188-eb51-11eb-8df3-e974156e0e1f,-0.16182422637939453,52.74762320518494
sigmoid,0.8927070828870972,83,88d4af82-eb51-11eb-8df3-e974156e0e1f,-0.05225334316492081,52.7477023601532
relu,0.48701593960104433,99,88d57d68-eb51-11eb-8df3-e974156e0e1f,0.7516593933105469,54.92761158943176
sigmoid,0.8901802118832969,99,88d65972-eb51-11eb-8df3-e974156e0e1f,-0.040878113359212875,54.927695751190186
relu,0.9441855354431903,23,89bf4722-eb51-11eb-8df3-e974156e0e1f,0.5582032203674316,49.4810733795166
relu,0.9596183088232055,74,89c01ada-eb51-11eb-8df3-e974156e0e1f,0.6274042129516602,53.8723304271698
relu,0.9886769183529879,60,8c7cb7ce-eb51-11eb-8df3-e974156e0e1f,0.4950719177722931,53.87244391441345
