activation,batch_size,dr,lr,nepochs,units,id,objective,elapsed_sec
relu,962,0.0030978020146911456,0.0003674098820414209,72,212,cc8977c6-f08d-11eb-b6c9-358c87a0228a,1.0742523774819315,411.28289914131165
tanh,735,0.005494694418902407,0.0010379062741584161,56,439,cc8add8c-f08d-11eb-b6c9-358c87a0228a,0.807656195240681,557.9171152114868
tanh,897,0.0004497596179296692,0.002304747798668664,166,82,cc8b2fa8-f08d-11eb-b6c9-358c87a0228a,0.8028080550226273,694.1637456417084
tanh,905,0.0025778815958583425,0.0019688406891626834,80,92,cc8c054a-f08d-11eb-b6c9-358c87a0228a,1.0834072729743056,364.1206634044647
tanh,805,0.00893327608882104,0.005855233097074508,114,87,cc8e544e-f08d-11eb-b6c9-358c87a0228a,0.8038167990134123,544.6021523475647
tanh,557,0.0075120930613315675,0.000897156748564749,103,174,cc8ed90a-f08d-11eb-b6c9-358c87a0228a,0.8045120764449741,667.595192193985
